,_id,TransactionID,CustomerID,ProductID,Quantity,Price,Discount,TransactionDate,CustomerLocation,CustomerAge,CustomerIncomeGroup,CustomerLoyaltyScore,ProductCategory_Beauty,ProductCategory_Books,ProductCategory_Clothing,ProductCategory_Electronics,ProductCategory_Home & Kitchen,ProductCategory_Sports,ProductCategory_Toys,PaymentMethod_Bank Transfer,PaymentMethod_Cash on Delivery,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_PayPal,CustomerGender_Female,CustomerGender_Male,CustomerGender_Other
0,68f24604b498e3d7cc23dbf6,9,6578,948,4,202.66,0.12,2024-08-04T17:13:39,Port Philipberg,37,0,28.61,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,68f24604b498e3d7cc23dbfe,17,7420,868,4,218.68,0.19,2024-07-24T08:49:00,Marioburgh,21,1,9.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,68f24604b498e3d7cc23dc22,53,4073,116,2,668.62,0.17,2023-10-11T11:19:27,Morganmouth,36,0,61.61,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3,68f24604b498e3d7cc23dc25,56,8989,603,2,960.25,0.26,2024-09-01T20:50:48,Adrienneberg,66,0,35.51,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
4,68f24604b498e3d7cc23dc31,68,8916,368,1,999.96,0.12,2024-01-27T21:47:54,East Courtneyview,66,0,38.61,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5,68f24604b498e3d7cc23dc38,75,9684,148,3,414.37,0.25,2024-08-25T18:27:53,Hernandezside,34,2,15.31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
6,68f24604b498e3d7cc23dc3f,82,6463,599,3,885.53,0.05,2023-09-24T18:59:42,Joshuafurt,57,1,99.74,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
7,68f24604b498e3d7cc23dc54,103,4840,723,2,13.41,0.12,2024-06-09T08:35:25,Summersstad,18,2,79.02,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
8,68f24604b498e3d7cc23dc67,122,7019,802,3,570.82,0.01,2024-03-13T08:07:18,Mathewsshire,58,1,4.46,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
9,68f24604b498e3d7cc23dc68,123,2757,750,3,300.88,0.19,2024-07-04T22:33:32,New Kaitlyn,18,2,89.35,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
10,68f24604b498e3d7cc23dc69,124,8574,770,1,5.06,0.1,2023-12-28T17:27:13,Lake Gregory,22,2,97.89,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
11,68f24604b498e3d7cc23dc92,165,5737,722,4,23.9,0.29,2024-07-31T11:08:57,Stoutland,24,2,29.74,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
12,68f24604b498e3d7cc23dca0,179,5218,242,1,77.46,0.1,2024-02-04T22:00:25,New Gina,61,0,34.22,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
13,68f24604b498e3d7cc23dcac,191,5282,352,4,219.1,0.28,2023-10-21T09:54:50,Campbellton,24,1,90.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
14,68f24604b498e3d7cc23dcce,225,3255,695,1,130.71,0.12,2024-07-21T19:08:42,Katieberg,44,2,48.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
15,68f24604b498e3d7cc23dce2,245,7944,697,2,740.06,0.26,2024-04-29T08:45:09,Aprilborough,40,0,70.77,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
16,68f24604b498e3d7cc23dce4,247,5911,535,2,785.98,0.13,2024-03-27T06:54:02,Lake Madisontown,47,1,87.77,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
17,68f24604b498e3d7cc23dcf7,266,6600,124,2,313.66,0.23,2024-04-20T17:27:38,New Josephtown,49,2,16.52,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
18,68f24604b498e3d7cc23dd05,280,1606,119,3,660.46,0.24,2023-12-19T09:33:47,East Nicole,65,0,12.92,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
19,68f24604b498e3d7cc23dd3c,335,2148,639,1,160.18,0.28,2024-01-18T10:56:34,Michaelburgh,34,2,70.06,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
20,68f24604b498e3d7cc23dd43,342,4124,508,3,34.37,0.05,2023-10-29T20:09:05,Johnmouth,20,0,63.22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
21,68f24604b498e3d7cc23dd53,358,2693,254,1,357.05,0.27,2023-12-31T05:05:07,Port Latoya,54,0,6.94,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
22,68f24604b498e3d7cc23dd54,359,5752,963,4,226.79,0.13,2023-12-31T06:34:50,Reedhaven,42,1,15.07,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
23,68f24604b498e3d7cc23dd56,361,1830,313,1,330.3,0.26,2024-07-06T11:44:53,West Leslie,32,1,76.4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
24,68f24604b498e3d7cc23dd5f,370,2664,677,3,338.84,0.24,2024-03-04T21:19:57,Barronberg,62,1,78.69,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
25,68f24604b498e3d7cc23dd62,373,8805,505,4,268.73,0.27,2024-04-05T09:07:51,Stephenschester,31,2,28.64,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
26,68f24604b498e3d7cc23dd69,380,1580,775,2,660.41,0.16,2024-03-31T03:59:49,Rogermouth,37,0,71.02,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
27,68f24604b498e3d7cc23dd75,392,3479,147,3,339.95,0.21,2023-12-06T06:46:12,North Ariel,30,2,65.7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
28,68f24604b498e3d7cc23dd7b,398,3849,983,3,95.48,0.16,2023-11-04T19:11:26,West Melissaberg,41,0,94.1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
29,68f24604b498e3d7cc23dd8a,413,3738,675,4,733.82,0.14,2024-01-11T00:46:42,New Jamie,25,2,1.28,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
30,68f24604b498e3d7cc23ddaf,450,6073,375,2,356.97,0.24,2024-06-01T13:11:35,North Stephanieborough,47,0,13.7,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
31,68f24604b498e3d7cc23ddb7,458,3914,180,4,439.02,0.27,2024-04-29T16:46:42,East Patricia,60,2,83.57,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
32,68f24604b498e3d7cc23ddbe,465,1698,712,1,659.6,0.07,2023-09-19T01:48:04,Brownshire,56,1,95.37,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
33,68f24604b498e3d7cc23ddc8,475,5946,152,2,523.3,0.12,2024-02-18T15:05:37,Port Angelatown,61,2,88.47,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34,68f24604b498e3d7cc23ddd4,487,3156,452,2,735.8,0.09,2024-07-20T10:19:31,Jaychester,66,1,68.91,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
35,68f24604b498e3d7cc23dc01,20,4385,427,1,886.69,0.28,2024-05-19T13:22:45,Annaborough,46,0,57.35,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
36,68f24604b498e3d7cc23dc02,21,7396,150,2,137.79,0.04,2024-05-13T10:04:09,Ramirezburgh,60,1,41.08,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
